company_id,company_name,year,cash_dividend,cash_dividend_new
3094,聯傑,2020,0.8,0.6690807938575745
3095,及成,2020,0.0,0.0018986909417435527
3105,穩懋,2020,10.0,9.805521011352539
3114,好德,2020,1.2,1.2041094303131104
3115,寶島極,2020,0.0,-0.0019200756214559078
3118,進階,2020,1.6,1.5689294338226318
3122,笙泉,2020,0.0,0.005681721959263086
3128,昇銳,2020,0.55,0.4584394693374634
3130,一零四,2020,7.8,7.652317047119141
3131,弘塑,2020,11.0,11.002872467041016
3138,耀登,2020,1.6,1.693830966949463
3141,晶宏,2020,0.71157302,0.9315193295478821
3144,新揚科,2020,1.6,1.5264005661010742
3147,大綜,2020,2.1,2.217529296875
3149,正達,2020,0.0,0.0007706063333898783
3152,璟德,2020,10.8,10.763176918029785
3162,精確,2020,0.0,-0.006806923542171717
3163,波若威,2020,2.5,2.4231560230255127
3164,景岳,2020,0.7,0.6838997602462769
3167,大量,2020,3.0,2.7752809524536133
3169,亞信,2020,2.5,2.390519380569458
3171,新洲,2020,1.85,1.6137332916259766
3176,基亞,2020,0.0,0.13723760843276978
3178,公準,2020,1.2,1.3314721584320068
3188,鑫龍騰,2020,0.3,0.2445129156112671
3189,景碩,2020,1.0,1.090036153793335
3191,和進,2020,0.0,0.001081108464859426
3202,樺晟,2020,0.0,-0.030933624133467674
3205,佰研,2020,0.0,0.06594537943601608
3206,志豐,2020,2.0,1.4414204359054565
3207,耀勝,2020,0.0,0.01930290088057518
3209,全科,2020,1.4,1.4508047103881836
3211,順達,2020,6.5,4.855339050292969
3213,茂訊,2020,4.5,4.435914039611816
3217,優群,2020,5.6,5.53031587600708
3218,大學光,2020,4.2,4.119048595428467
3219,倚強科技,2020,0.0,0.060504697263240814
3221,台嘉碩,2020,0.20027406,0.11403407156467438
3224,三顧,2020,0.0,0.005713027436286211
3226,至寶電,2020,3.5,3.5406041145324707
3227,原相,2020,8.48313461,8.47503662109375
3228,金麗科,2020,0.0,-0.03570400923490524
3229,晟鈦,2020,0.0,-0.004189079627394676
3230,錦明,2020,0.0,-0.02231324091553688
3231,緯創,2020,2.2,2.184805393218994
3232,昱捷,2020,0.3,0.26423174142837524
3234,光環,2020,0.0,0.00835456233471632
3236,千如,2020,0.65,0.5485290884971619
3252,海灣,2020,0.0,-0.03303747996687889
3257,虹冠電,2020,3.0,2.9758613109588623
3259,鑫創,2020,0.0,-0.004309919197112322
3260,威剛,2020,3.18428466,4.292361736297607
3264,欣銓,2020,2.0,1.8662910461425781
3265,台星科,2020,1.229384,1.1842103004455566
3266,昇陽,2020,0.0,0.43410876393318176
3268,海德威,2020,0.5,0.3570525348186493
3272,東碩,2020,1.8,1.7118343114852905
3276,宇環,2020,0.0,-0.008842391893267632
3284,太普高,2020,0.0,-0.017034824937582016
3285,微端,2020,0.35,0.5825079083442688
3287,廣寰科,2020,0.0,0.03620202839374542
3288,點晶,2020,0.0,-0.0069886078126728535
3289,宜特,2020,3.13386956,2.972126007080078
3290,東浦,2020,0.2,0.20935659110546112
3293,鈊象,2020,42.0,41.5357666015625
3294,英濟,2020,0.5,0.5280713438987732
3296,勝德,2020,0.23,0.24978110194206238
3297,杭特,2020,0.0,0.061196401715278625
3303,岱稜,2020,1.4,1.3335131406784058
3305,昇貿,2020,1.36473113,0.9418763518333435
3306,鼎天,2020,0.5,0.5494769215583801
3308,聯德,2020,0.0,0.007894341833889484
3310,佳穎,2020,1.49894954,1.2060492038726807
3311,閎暉,2020,0.0,0.05934121832251549
3312,弘憶股,2020,0.0,0.20203295350074768
3313,斐成,2020,0.0,-0.0034850535448640585
3317,尼克森,2020,1.0,1.161709189414978
3321,同泰,2020,0.0,0.01344760600477457
3322,建舜電,2020,0.0,-0.012022278271615505
3323,加百裕,2020,2.5,2.6058075428009033
3324,雙鴻,2020,5.5,5.6357197761535645
3325,旭品,2020,2.49999989,1.961031198501587
3332,幸康,2020,1.0,1.7669188976287842
3338,泰碩,2020,1.7990987,1.2185454368591309
3339,泰谷,2020,0.0,0.0016987103736028075
3346,麗清,2020,0.16,0.2545756995677948
3354,律勝,2020,0.3,0.2079598605632782
3356,奇偶,2020,1.0008690999999998,1.0595083236694336
3357,臺慶科,2020,4.1,4.089709758758545
3360,尚立,2020,1.0,0.4056098461151123
3362,先進光,2020,0.0,0.0157772209495306
3363,上詮,2020,1.0,0.7995936274528503
3372,典範,2020,0.0,-0.008623678237199783
3373,熱映,2020,10.0,10.036723136901855
3374,精材,2020,2.5,2.538085699081421
3376,新日興,2020,6.98330782,6.817135334014893
3379,彬台,2020,0.3,0.0934145599603653
3380,明泰,2020,1.0,0.9191386699676514
3383,新世紀,2020,0.0,-0.00819376390427351
3388,崇越電,2020,4.3,4.306914329528809
3390,旭軟,2020,0.2,0.035719189792871475
3402,漢科,2020,2.7,2.377244234085083
3406,玉晶光,2020,9.9907,9.931340217590332
3413,京鼎,2020,7.0,6.980470180511475
3416,融程電,2020,3.99955848,3.692906141281128
3419,譁裕,2020,0.5,0.3587842881679535
3426,台興,2020,2.0,1.8213616609573364
3432,台端,2020,0.25,0.5922414660453796
3434,哲固,2020,0.0,0.006977873854339123
3437,榮創,2020,0.0,-0.011425335891544819
3438,類比科,2020,1.5,1.9280014038085938
3441,聯一光電,2020,0.5,0.4979550838470459
3443,創意,2020,5.0,4.755053520202637
3444,利機,2020,1.8,1.688969373703003
3450,聯鈞,2020,1.4,1.3699395656585693
3454,晶睿,2020,2.0,2.1250994205474854
3455,由田,2020,4.0,3.855677604675293
3465,進泰電子,2020,0.0,0.024190403521060944
3466,致振,2020,0.0,0.02089780755341053
3479,安勤,2020,2.58435269,2.4988420009613037
3481,群創,2020,0.39883801,0.4257408678531647
3483,力致,2020,2.0,2.078174591064453
